gene_name	known_status	single_exon	pval	qval	esti_log2FC
AKR1B10	1	0	1.7857958072073294e-5	5.616425934315798e-4	-1.387579013001251
AKR1C2	1	0	0.001812703142707321	0.02160523225165373	-1.5215916084128838
AKR1C3	1	0	0.004546183373372985	0.04232997743666037	-0.6292364835110305
ALCAM	1	0	1.1363919545168664e-6	5.101731409925131e-5	0.921931291793667
ALDH1L2	1	0	3.691010136734556e-4	0.006301966300572288	1.1049981637134803
ALX4	1	0	2.3712550043891316e-4	0.004446540096682519	-0.8869687823597664
AMBP	1	0	5.741886573053251e-4	0.008979934083102952	-1.4901602211337623
AMZ2	1	0	0.0051787255691911295	0.04649886299301965	0.3768302006087959
ANAPC15	1	0	0.004304682999073357	0.04067583682408622	0.4402317400923086
ANG	1	0	8.757238525877336e-11	1.0552933330973026e-8	-2.188451483325147
ANGPTL4	1	0	3.4846918533756696e-5	9.694472013959822e-4	0.7963928669182329
ANK3	1	0	0.0012809285692689575	0.016518667692874654	-2.5265317252830535
ANKRD13A	1	0	7.54883218636273e-9	6.172787919248609e-7	1.5239577059712972
ANKRD2	1	0	0.0021359276005267604	0.024162153330860033	-0.7324858790177089
ANKRD27	1	0	0.0011476166029843647	0.015303337065771703	-0.6740277061660455
ANKRD30A	1	0	2.0959393321187542e-4	0.004040270602155349	-3.913386383017936
ANKRD36BP2	1	0	9.625616090349263e-4	0.013401625001060862	-1.7926390622134807
ANKRD45	1	0	0.0020087883375361	0.0230773797171232	1.5191987551483375
ANKRD9	1	0	0.0031172028682428066	0.03216380210513173	-0.6544474753330822
ANKS4B	1	0	2.8592134427527087e-8	2.0361822191842496e-6	-5.629740707257834
ANO9	1	0	0.0019324789418171688	0.022587756181486607	-4.606024221326849
ANP32E	1	0	0.0010327067468630425	0.014195542118105146	-0.5294758272433863
ANPEP	1	0	1.0940702600138836e-12	1.7765838775374382e-10	3.243340534789183
ANTXR1	1	0	2.6669584355197445e-7	1.4167675252821362e-5	-0.6425781151877082
